timestamp,field_code,extracted_value,confidence,reason
2026-06-25T17:34:34.947838,survey_number,,0.00,empty_value
2026-06-25T17:34:34.977350,gst_number,,0.00,empty_value
2026-06-25T17:34:34.990384,village,,0.00,empty_value
2026-06-26T11:57:08.430163,owner_name,,0.00,empty_value
2026-06-26T11:57:14.226926,survey_number,,0.00,empty_value
2026-06-26T11:57:14.255633,gst_number,,0.00,empty_value
2026-06-26T11:57:14.264685,village,,0.00,empty_value
2026-06-26T12:17:59.126529,owner_name,TR-999,0.60,low_confidence
2026-06-26T12:17:59.232716,survey_number,123456,0.66,low_confidence
2026-06-26T12:17:59.254224,gst_number,123456,0.67,low_confidence
2026-06-26T12:17:59.266229,village,Pavan Kumar,0.57,low_confidence
2026-06-26T12:19:55.118240,owner_name,,0.00,empty_value
2026-06-26T12:19:55.221434,survey_number,,0.00,empty_value
2026-06-26T12:19:55.240438,gst_number,123456,0.68,low_confidence
2026-06-26T12:19:55.251433,village,,0.00,empty_value
2026-06-26T12:22:22.558527,owner_name,,0.00,empty_value
2026-06-26T12:22:22.670706,survey_number,,0.00,empty_value
2026-06-26T12:22:22.692221,gst_number,123456,0.68,low_confidence
2026-06-26T12:22:22.703456,village,,0.00,empty_value
2026-06-26T12:23:17.007254,owner_name,,0.00,empty_value
2026-06-26T12:23:17.112616,survey_number,,0.00,empty_value
2026-06-26T12:23:17.134128,gst_number,123456,0.68,low_confidence
2026-06-26T12:23:17.142129,village,,0.00,empty_value
2026-06-26T12:26:26.105736,owner_name,,0.00,empty_value
2026-06-26T12:26:26.230317,survey_number,,0.00,empty_value
2026-06-26T12:26:26.249422,gst_number,123456,0.68,low_confidence
2026-06-26T12:26:26.257427,village,,0.00,empty_value
2026-06-26T12:27:19.073349,owner_name,,0.00,empty_value
2026-06-26T12:27:19.183012,survey_number,,0.00,empty_value
2026-06-26T12:27:19.204017,gst_number,123456,0.68,low_confidence
2026-06-26T12:27:19.216013,village,,0.00,empty_value
2026-06-26T12:29:37.966822,owner_name,,0.00,empty_value
2026-06-26T12:29:38.156177,survey_number,,0.00,empty_value
2026-06-26T12:29:38.204033,gst_number,,0.00,empty_value
2026-06-26T12:29:38.227163,village,,0.00,empty_value
